CustomIntervall;; linecount Zugang Europaviertel; linecount Bahnsteig01; linecount Bahnsteig02; linecount Bahnsteig03; linecount Bahnsteig04; linecount Bahnsteig05; linecount Bahnsteig06; linecount Bahnsteig07; linecount Bahnsteig08; Querbahnsteig; STG_QB04_Steg01; STG_Bonatz10_Steg01; STG_QB12_Steg02; STG_Bonatz13_Steg02; STG_Bonatz04; linecount Zugang Infoturm Stuttgart; linecount Zugang Schlossgarten; (AB) linecount Zugang Schlossgarten+ITS;Bahnsteige Gesamt angepasst;Steg 02 Gesamt
05.01.2023 06:00;;1028;497;395;325;578;484;0;262;328;2869;0;0;0;0;666;0;103;0;2.869;666
05.01.2023 07:00;;1347;434;379;571;372;696;0;519;666;3637;0;0;0;0;1080;0;166;0;3.637;1.080
05.01.2023 08:00;;1463;634;349;582;427;877;0;351;751;3971;0;0;0;0;1124;8;161;0;3.971;1.124
05.01.2023 09:00;;1369;797;471;649;485;767;0;318;1169;4656;0;0;0;0;1262;17;159;0;4.656;1.262
05.01.2023 10:00;;1862;976;515;1181;846;1301;0;442;1153;6414;0;0;0;0;1731;42;189;0;6.414;1.731
05.01.2023 11:00;;1882;1231;740;604;313;1197;0;596;1075;5756;0;0;0;0;1832;41;181;0;5.756;1.832
05.01.2023 12:00;;1926;1021;757;432;875;1099;0;940;1310;6434;0;0;0;0;1933;57;216;0;6.434;1.933
05.01.2023 13:00;;2209;1263;875;1214;672;1016;0;550;1390;6980;0;0;0;0;2089;46;231;0;6.980;2.089
05.01.2023 14:00;;2485;1470;889;1367;1483;1512;0;691;1482;8894;0;0;0;0;2254;30;228;0;8.894;2.254
05.01.2023 15:00;;2414;1427;1012;1600;887;1494;0;1332;1419;9171;0;0;0;0;2645;112;311;0;9.171;2.645
05.01.2023 16:00;;2740;1297;1092;1412;626;1483;0;1544;1952;9406;0;0;0;0;2929;50;312;0;9.406;2.929
05.01.2023 17:00;;2220;1289;1004;916;508;1737;0;863;2361;8678;0;0;0;0;3125;28;294;0;8.678;3.125
05.01.2023 18:00;;1957;1185;939;985;966;1126;0;948;1733;7882;0;0;0;0;2476;22;241;0;7.882;2.476
05.01.2023 19:00;;1363;709;470;324;774;723;0;926;1231;5157;0;0;0;0;1823;18;169;0;5.157;1.823
05.01.2023 20:00;;1357;656;563;281;638;657;0;770;1106;4671;0;0;0;0;1477;9;115;0;4.671;1.477
05.01.2023 21:00;;1074;344;302;372;322;389;0;490;1338;3557;0;0;0;0;1336;10;149;0;3.557;1.336
05.01.2023 22:00;;688;239;51;342;272;398;0;295;515;2112;0;0;0;0;849;0;71;0;2.112;849
05.01.2023 23:00;;337;137;101;36;237;171;0;236;360;1278;0;0;0;0;543;0;57;0;1.278;543
06.01.2023 00:00;;313;46;26;37;140;200;0;118;243;810;0;0;0;0;295;0;42;0;810;295
06.01.2023 01:00;;104;32;4;56;30;96;0;24;40;282;0;0;0;0;91;0;5;0;282;91
06.01.2023 02:00;;149;21;7;6;69;159;0;44;46;352;0;0;0;0;97;0;20;0;352;97
06.01.2023 03:00;;110;35;13;16;72;17;0;29;117;299;0;0;0;0;152;0;7;0;299;152
06.01.2023 04:00;;197;42;28;20;42;144;0;67;113;456;0;0;0;0;151;0;13;0;456;151
06.01.2023 05:00;;324;106;96;92;94;246;0;173;215;1022;0;0;0;0;324;2;16;0;1.022;324
06.01.2023 06:00;;703;340;452;251;325;419;0;259;147;2193;0;0;0;0;587;3;59;0;2.193;587
06.01.2023 07:00;;704;264;93;322;245;635;0;211;513;2283;0;0;0;0;528;1;67;0;2.283;528
06.01.2023 08:00;;1041;674;255;421;364;883;0;209;721;3527;0;0;0;0;811;15;121;0;3.527;811
06.01.2023 09:00;;1302;856;374;829;549;695;0;319;1153;4775;0;0;0;0;1333;31;131;0;4.775;1.333
06.01.2023 10:00;;1585;1252;457;848;1009;1129;0;551;1221;6467;0;0;0;0;1491;62;207;0;6.467;1.491
06.01.2023 11:00;;1796;1028;700;1174;552;1325;0;617;1213;6609;0;0;0;0;1731;88;237;0;6.609;1.731
06.01.2023 12:00;;1657;1161;663;1075;681;1066;0;858;1184;6688;0;0;0;0;1760;132;264;0;6.688;1.760
06.01.2023 13:00;;1600;968;804;770;657;906;0;606;1049;5760;0;0;0;0;1641;47;235;0;5.760;1.641
06.01.2023 14:00;;2141;1392;713;1074;1002;1285;0;937;1411;7814;0;0;0;0;1948;64;362;0;7.814;1.948
06.01.2023 15:00;;1985;1170;1003;738;690;1368;0;909;1220;7098;0;0;0;0;1991;128;325;0;7.098;1.991
06.01.2023 16:00;;1691;1146;599;392;646;1681;0;798;1200;6462;0;0;0;0;1825;69;307;0;6.462;1.825
06.01.2023 17:00;;1826;1097;686;843;464;1020;0;820;1908;6838;0;0;0;0;2177;107;316;0;6.838;2.177
06.01.2023 18:00;;1329;888;561;730;637;958;0;569;1030;5373;0;0;0;0;1571;51;171;0;5.373;1.571
06.01.2023 19:00;;1390;761;482;748;616;1535;0;989;876;6007;0;0;0;0;1500;25;131;0;6.007;1.500
06.01.2023 20:00;;1311;657;399;718;686;496;0;696;1328;4980;0;0;0;0;1378;4;115;0;4.980;1.378
06.01.2023 21:00;;857;315;177;291;289;370;0;784;602;2828;0;0;0;0;946;0;102;0;2.828;946
06.01.2023 22:00;;693;273;421;174;293;296;0;434;748;2639;0;0;0;0;894;10;59;0;2.639;894
06.01.2023 23:00;;536;90;233;557;124;239;0;150;266;1659;0;0;0;0;517;0;80;0;1.659;517
07.01.2023 00:00;;335;42;30;5;194;276;0;114;231;892;0;0;0;0;392;2;38;0;892;392
07.01.2023 01:00;;66;25;11;5;59;23;0;59;66;248;0;0;0;0;148;0;14;0;248;148
07.01.2023 02:00;;102;39;8;2;75;111;0;82;21;338;0;0;0;0;103;0;17;0;338;103
07.01.2023 03:00;;135;47;15;2;57;15;0;53;161;350;0;0;0;0;155;2;13;0;350;155
07.01.2023 04:00;;175;45;31;13;66;110;0;50;136;451;0;0;0;0;161;2;18;0;451;161
07.01.2023 05:00;;318;122;156;124;80;239;0;174;109;1004;0;0;0;0;217;0;11;0;1.004;217
07.01.2023 06:00;;578;434;447;267;271;258;0;195;157;2029;0;0;0;0;396;0;28;0;2.029;396
07.01.2023 07:00;;656;315;129;160;303;518;0;212;601;2238;0;0;0;0;524;0;57;0;2.238;524
07.01.2023 08:00;;1018;628;465;316;390;741;0;285;624;3449;0;0;0;0;729;12;67;0;3.449;729
07.01.2023 09:00;;1533;672;361;610;607;686;0;479;1376;4791;0;0;0;0;1369;24;137;0;4.791;1.369
07.01.2023 10:00;;2048;1238;713;1000;680;1495;0;599;1507;7232;0;0;0;0;2047;67;236;0;7.232;2.047
07.01.2023 11:00;;1978;1032;729;776;382;1432;0;957;1238;6546;0;0;0;0;2274;103;271;0;6.546;2.274
07.01.2023 12:00;;1968;1261;653;509;729;1115;0;900;913;6080;0;0;0;0;2296;122;254;0;6.080;2.296
07.01.2023 13:00;;2347;1154;1216;1378;786;1039;0;964;1228;7765;0;0;0;0;2494;86;299;0;7.765;2.494
07.01.2023 14:00;;2599;1398;1065;1342;1050;1114;0;1167;1858;8994;0;0;0;0;2914;110;394;0;8.994;2.914
07.01.2023 15:00;;2390;1160;875;1329;946;1124;0;1305;1724;8463;0;0;0;0;3120;101;406;0;8.463;3.120
07.01.2023 16:00;;2271;1093;933;1070;419;959;0;1399;1544;7417;0;0;0;0;2865;71;300;0;7.417;2.865
07.01.2023 17:00;;2307;1433;1012;928;591;1373;0;963;2228;8528;0;0;0;0;3250;138;360;0;8.528;3.250
07.01.2023 18:00;;1978;1079;1043;1434;836;1152;0;620;1669;7833;0;0;0;0;2595;15;210;0;7.833;2.595
07.01.2023 19:00;;1562;924;685;623;480;1011;0;1022;1451;6196;0;0;0;0;2390;20;173;0;6.196;2.390
